Source,Target,Edge,Coef
MAFK,HSF1,1,0.10644692902640736
TCF3,HSF1,1,0.2760952977004182
MYCN,HSF1,-1,-0.038346550594542166
IKZF1,HSF1,-1,-0.1103617644944439
JUN,HSF1,1,0.01801050702983749
RUNX1,HSF1,-1,-0.0600223188669707
IRF1,HSF1,-1,-0.0825900970490094
RUNX2,HSF1,1,0.06891601655968252
FOXO4,HSF1,1,0.21658953905119518
NF1,HSF1,-1,-0.22741588927545123
FOXC1,HSF1,-1,-0.028545410488144712
SMAD3,HSF1,1,0.09613797074268592
FOXO1,HSF1,-1,-0.06676467566286902
CREB5,HSF1,-1,-0.10500514337843543
IRF7,HSF1,1,0.11718024156122725
MAZ,HSF1,1,0.2090665196664082
HOXB13,HSF1,1,0.0450829711697286
AR,HSF1,-1,-0.04856241684734993
PAX6,HSF1,-1,-0.06008270485416671
TFAP4,HSF1,1,0.1989994153030551
MEF2D,SOX18,1,0.035594977091674765
RARA,SOX18,1,0.012460777693589496
CNOT3,SOX18,1,0.11807143633675979
SP1,SOX18,-1,-0.14543067591750217
SOX4,SOX18,1,0.054197266565724496
SOX17,SOX18,1,0.31730580575739736
GABPA,SOX18,1,0.013525940488692408
KLF15,SOX18,1,0.003504600692801874
SPI1,SOX18,1,0.12789494619000663
ESR2,SOX18,-1,-0.02066546842710714
PATZ1,SOX18,1,0.1454155049137465
TBX2,SOX18,1,0.12930056590576858
TRAF4,SOX18,1,0.026311758460037804
MYCN,SOX18,1,0.026219998493314155
RFX1,SOX18,1,0.19168989334945016
JUN,SOX18,-1,-0.010522265723367522
EGR1,SOX18,1,0.024440829802908057
MAF,SOX18,1,0.08624444783718198
KLF12,SOX18,-1,-0.013298613274710153
NR2F1,SOX18,1,0.012581017336493677
FOXO3,SOX18,-1,-0.10270002862378762
PPARA,SOX18,-1,-0.13191830327197315
RFX5,SOX18,-1,-0.04587075895319556
ETV1,NR1H2,-1,-0.034615047810310516
HSF1,NR1H2,1,0.17507470080944457
ELK1,NR1H2,1,0.011024416883558581
